cid,round,MAE,MSE,RMSE,MAPE (%),SMAPE (%),Model_Strategy
0,50,8.112466720331637,128.69936439273178,11.344574227036102,16.864907072974535,15.682967078288074,lstm_fedProx_diff001
1,50,5.178798500416668,41.92013238203767,6.474575845724388,20.31100855628718,19.97083000505322,lstm_fedProx_diff001
2,50,1.4361424386989796,3.774928087726528,1.9429174165997196,56.61030355625347,39.72734357771691,lstm_fedProx_diff001
3,50,18.664547003928583,635.5888949778173,25.21088842103382,28.07381254625381,22.616247585308997,lstm_fedProx_diff001
4,50,17.211152875850352,474.9865484263184,21.794186115253726,4.0792518881310365,4.134685396910417,lstm_fedProx_diff001
5,50,1.7401946967431972,5.37682323646517,2.318797799823255,50.23556392869059,35.52329381611522,lstm_fedProx_diff001
6,50,4.353930288690477,35.49137761537802,5.957464025521096,9.658294317088762,9.638404323755328,lstm_fedProx_diff001
7,50,21.28307032636056,689.1503417726472,26.25167312330106,12.31722296983176,13.130866723347356,lstm_fedProx_diff001
8,50,11.161096077976191,198.5893249392982,14.092172470534775,7.653892034194267,7.7651778800038675,lstm_fedProx_diff001
9,50,9.901971731173472,169.27310772295186,13.01049990288428,38.80147298431434,31.105071692550307,lstm_fedProx_diff001
10,50,52.68960033205783,4309.902954117796,65.64985113553416,9.78041688399758,9.736877690318568,lstm_fedProx_diff001
11,50,10.554634752125862,142.27419335252975,11.92787463685504,7.603619755916448,7.972069973526928,lstm_fedProx_diff001
12,50,5.676984258588438,56.6505552095134,7.526656310043219,6.654828667144883,6.854843624711744,lstm_fedProx_diff001
13,50,15.659846765051023,403.68595411770326,20.091937540160316,14.201578281331471,14.040059551600937,lstm_fedProx_diff001
14,50,18.35086142551021,487.6159909898246,22.082028688275557,15.390622611911413,15.161465752720632,lstm_fedProx_diff001
15,50,10.81659393010204,190.0673698257708,13.786492295931218,14.6892195469121,13.900670337239806,lstm_fedProx_diff001
16,50,22.21209484073129,1166.3427475379135,34.151760533505644,5.64341908371141,5.576252772141627,lstm_fedProx_diff001
17,50,5.3640912837074834,47.86418938580492,6.918395000706806,14.639337812187652,14.13654580525184,lstm_fedProx_diff001
18,50,21.48014883163269,722.6497456861808,26.88214548145629,3.5983106215391003,3.658372650238004,lstm_fedProx_diff001
19,50,5.918199284013605,54.84523598532095,7.405756948841958,11.84164675469991,11.376426493509772,lstm_fedProx_diff001
