cid,round,MAE,MSE,RMSE,MAPE (%),SMAPE (%),Model_Strategy
0,46,7.392206602491498,113.24948484537516,10.641874122793183,16.851679834078595,14.45589806421789,gru_scaffold_diff001
1,46,5.144291876658165,41.00876177678491,6.40380838070479,21.674803605926623,19.89308850538905,gru_scaffold_diff001
2,46,1.498539889447279,3.599509514900889,1.8972373375255107,63.17787451835688,42.568592378672825,gru_scaffold_diff001
3,46,14.55435721158164,486.8646055608964,22.06500862363068,25.055307030548278,18.214808097186456,gru_scaffold_diff001
4,46,13.571912513605444,345.58164388332483,18.589826354308016,3.283811704416504,3.2596009569545914,gru_scaffold_diff001
5,46,1.6905764252636053,5.3242878157215605,2.307441833659423,46.49324684177672,33.29207782491132,gru_scaffold_diff001
6,46,3.948098156887756,30.883878950504883,5.557326601029031,8.760599725273027,8.709342969466618,gru_scaffold_diff001
7,46,13.38757693775511,352.77323651683776,18.782258557395,7.77016279858636,7.812080704196919,gru_scaffold_diff001
8,46,10.555293177465986,172.9682788447402,13.151740525297033,7.279457865539728,7.314089276098859,gru_scaffold_diff001
9,46,9.451509709914967,140.73275842040078,11.863083849505609,37.72829445063526,30.150890537366227,gru_scaffold_diff001
10,46,54.46265272831634,4484.619151181238,66.96729911816092,10.058330940221524,10.09035441401007,gru_scaffold_diff001
11,46,5.696590348894565,49.86257243293912,7.061343528885924,4.09346385908489,4.1864014825897415,gru_scaffold_diff001
12,46,4.9502130339285735,44.16178086543033,6.645433083361109,5.859827973061495,5.939946866642119,gru_scaffold_diff001
13,46,15.18095864651361,382.44360630178863,19.55616542939307,13.60484108552694,13.624702765376314,gru_scaffold_diff001
14,46,19.03662093843538,513.6193794225949,22.66317231595336,15.790774022448856,15.68919281974668,gru_scaffold_diff001
15,46,9.877025193537415,143.89816642009288,11.995756183754857,13.32562892809662,12.838090749153324,gru_scaffold_diff001
16,46,20.979747126445574,1131.8042198823832,33.64229807671264,5.397858665101542,5.2661785519461946,gru_scaffold_diff001
17,46,4.871168183418368,41.12842962631904,6.413145065123588,13.91848785008412,12.822771418716773,gru_scaffold_diff001
18,46,16.258947251700693,470.9181519513037,21.700648652777726,2.7697064996554275,2.769464235600933,gru_scaffold_diff001
19,46,5.776690617517007,53.66662961655902,7.325751129854127,11.808189931961152,11.234777722442068,gru_scaffold_diff001
20,46,15.772051115136051,443.2491517077626,21.053483125311185,11.995440873457294,11.323493481468248,gru_scaffold_diff001
21,46,2.746735692848639,13.307407324770844,3.647931924360821,22.598529306095788,19.74610096132009,gru_scaffold_diff001
22,46,1.1506749217687071,2.215199225039019,1.4883545360696218,13.678265918610094,12.939133935399896,gru_scaffold_diff001
23,46,10.842565025170074,199.64807367932792,14.129687670975883,3.978131525662661,4.028276131504102,gru_scaffold_diff001
24,46,23.369478886224496,883.9406914041098,29.731140095934933,10.994297007133731,10.915471160524456,gru_scaffold_diff001
25,46,17.589242602210884,595.7162151739028,24.407298399739016,25.634805933665504,21.749721092585776,gru_scaffold_diff001
26,46,13.3572118167432,271.8331740543766,16.487364072354822,34.18812415217482,29.827365527674683,gru_scaffold_diff001
27,46,4.464973724149661,34.447414503941914,5.869191980497989,4.683814044914556,4.716205790524954,gru_scaffold_diff001
28,46,9.828436530127552,167.62062767096407,12.946838520309276,20.11574317387977,18.72797729484085,gru_scaffold_diff001
29,46,54.47476117421876,5807.129418978064,76.20452361230312,15.126909063278417,16.10177392744546,gru_scaffold_diff001
30,46,29.09993331301021,1262.9157125196166,35.537525413562726,18.65346680257837,18.004692038068264,gru_scaffold_diff001
31,46,21.41032649209184,735.4734751529367,27.11961421467748,16.04617284661491,15.83065715101787,gru_scaffold_diff001
32,46,26.698208891411564,1110.1745164454408,33.31928145151754,34.811034286832005,28.516001468412227,gru_scaffold_diff001
33,46,8.54946723010204,114.90786954721844,10.7195088295695,6.945434576594817,6.808982144133317,gru_scaffold_diff001
34,46,6.826737063188776,81.5299130193062,9.029391619555891,11.997282016991557,11.471468496959432,gru_scaffold_diff001
35,46,5.30310457402211,48.47332623451916,6.962278810455609,11.682178204298236,11.233514105474686,gru_scaffold_diff001
36,46,4.986812760238095,64.35890729585664,8.022400345024963,19.762330157931405,16.501416035517067,gru_scaffold_diff001
37,46,7.663181283613948,81.33223126345236,9.018438404926451,20.928255524106724,20.29526463444751,gru_scaffold_diff001
38,46,4.096107751360546,27.76327558962247,5.269086788962815,2.3751031709862773,2.378323165513273,gru_scaffold_diff001
39,46,8.650158182227893,147.91142559620468,12.161884130191536,9.238168766613086,9.181406757261731,gru_scaffold_diff001
40,46,19.386646687817027,1232.492793296066,35.10687672374269,37.1516804048262,27.39062147408975,gru_scaffold_diff001
41,46,5.314204050892861,46.86921822026773,6.846109714302549,7.887902438344775,7.984582484131087,gru_scaffold_diff001
42,46,17.478338110459188,697.3715360737784,26.40779309358846,5.088178098658088,4.986028241150656,gru_scaffold_diff001
43,46,7.544812900144557,110.5532452927938,10.514430336104462,29.578531824115828,24.57073015857461,gru_scaffold_diff001
44,46,0.8348667302806121,1.2378698467430287,1.112595994394654,31.235017668578607,25.468028866780333,gru_scaffold_diff001
45,46,0.0970989203486395,0.0154747524799494,0.1243975581751888,12.416407633450174,13.33427453458482,gru_scaffold_diff001
46,46,0.8530886977551019,1.2648150768848834,1.1246399765635593,57.104276922642185,40.10869154590992,gru_scaffold_diff001
47,46,15.765593544897964,392.1339025805883,19.80237113531075,19.391070428547163,17.583110013270208,gru_scaffold_diff001
