Model_Strategy,Round,METRIC,Count,Min,Q1,Median,Q3,Max,IQR,True Min (Non-outlier),True Max (Non-outlier)
gru_fedAvg_diff0_metrics_round48.csv,48,MAE,1409,0.0271325886820436,5.2354606375,12.054621001488096,27.247891641865085,6505.385047569444,22.012431004365084,0.0271325886820436,60.123255304067456
gru_fedAvg_metrics_round48.csv,48,MAE,1409,0.0277057957996031,5.289744766865079,11.922441228174604,27.01550604132652,6866.333199156746,21.72576127446144,0.0277057957996031,59.17617799603174
gru_fedProx_diff_metrics_round48.csv,48,MAE,1409,0.0266761851711309,5.4669525240575405,12.672023209234696,27.78822288194444,5803.206327628969,22.3212703578869,0.0266761851711309,61.19782451884921
gru_fedProx_metrics_round48.csv,48,MAE,1409,0.0268825849434523,5.400696681547619,12.4533190705501,27.461269631944443,5995.854770238096,22.060572950396825,0.0268825849434523,59.478874687996026
gru_scaffold_diff_metrics_round48.csv,48,MAE,1409,0.0252847503179563,4.8509378496527775,10.837734206597224,24.747135067956343,4160.483171527778,19.896197218303566,0.0252847503179563,54.347111205357145
gru_scaffold_lr_metrics_round48.csv,48,MAE,1409,0.0245337738571428,4.925992719345238,10.971952354662696,25.023035645337306,3494.6707303571425,20.097042925992067,0.0245337738571428,55.10020731646824
lstm_fedAvg_diff0_metrics_round48.csv,48,MAE,1409,0.0295226581324404,5.516450668154762,12.623170452876982,28.503740558531742,9297.823264880952,22.98728989037698,0.0295226581324404,62.88574293650794
lstm_fedAvg_metrics_round48.csv,48,MAE,1409,0.0292568780337301,5.620012143105158,12.682947543928574,28.624218848214287,9287.14767157738,23.00420670510913,0.0292568780337301,62.97877789682539
lstm_fedProx_diff_metrics_round48.csv,48,MAE,1409,0.0282720973640872,5.811553591021825,13.204408834027776,29.32958349355158,7417.707145138889,23.518029902529754,0.0282720973640872,64.15634609623017
lstm_fedProx_metrics_round48.csv,48,MAE,1409,0.0278514497688491,5.82577003735119,13.215359543154763,29.251222850694443,6945.979493402778,23.425452813343252,0.0278514497688491,64.164924375
lstm_scaffold_diff_metrics_round48.csv,48,MAE,1409,0.0259275182033729,5.08280576438492,11.425709337301589,25.83654523859127,4985.259778521826,20.75373947420635,0.0259275182033729,56.34632447916666
lstm_scaffold_lr_metrics_round48.csv,48,MAE,1409,0.0267121737872023,5.10180791096939,11.48150700595238,26.26194458531746,5997.620323809523,21.160136674348067,0.0267121737872023,57.42994785218254
