Model_Strategy,Round,METRIC,Count,Min,Q1,Median,Q3,Max,IQR,True Min (Non-outlier),True Max (Non-outlier)
gru_fedAvg_diff0_metrics_round49.csv,49,RMSE,1409,0.034886956347464,7.428279128165471,17.383805202074726,42.10149308783891,8772.676403353398,34.67321395967344,0.034886956347464,93.5160266554268
gru_fedAvg_metrics_round49.csv,49,RMSE,1409,0.034800549750831,7.3749238154075,17.256177856442687,41.90128030956302,7973.099970778005,34.52635649415552,0.034800549750831,93.48933461567796
gru_fedProx_diff_metrics_round49.csv,49,RMSE,1409,0.0333449836944185,7.7665266577956,18.40083061003863,42.78861455166906,6716.752299682756,35.02208789387346,0.0333449836944185,94.84555499617495
gru_fedProx_metrics_round49.csv,49,RMSE,1409,0.0332258628819454,7.655743555668669,18.159930599226023,42.63717001614279,6488.05999947143,34.98142646047412,0.0332258628819454,94.71367063997502
gru_scaffold_diff_metrics_round49.csv,49,RMSE,1409,0.0332769185413651,7.087061219703686,16.1958457082187,40.25432492282447,4842.863333212885,33.16726370312079,0.0332769185413651,89.96075680317972
gru_scaffold_lr_metrics_round49.csv,49,RMSE,1409,0.0326860867118271,7.259691862117897,16.445205553699456,40.60888192736957,3857.944273340821,33.349190065251676,0.0326860867118271,90.56004607401997
lstm_fedAvg_diff0_metrics_round49.csv,49,RMSE,1409,0.035221162052222,7.686685310978685,18.01312508805405,42.66334606595207,10386.75699322727,34.97666075497338,0.035221162052222,93.7868264108547
lstm_fedAvg_metrics_round49.csv,49,RMSE,1409,0.0352715852343706,7.838744925262787,18.503663229668625,43.308281934566686,9688.949500811908,35.4695370093039,0.0352715852343706,96.43411765411602
lstm_fedProx_diff_metrics_round49.csv,49,RMSE,1409,0.0334821425891475,8.026123634500031,18.971058998551506,44.24501102978766,7338.600375016376,36.21888739528763,0.0334821425891475,97.91882618241011
lstm_fedProx_metrics_round49.csv,49,RMSE,1409,0.0332353605767435,8.003178479337137,19.01794499154195,44.4245182419116,6693.001996662896,36.42133976257446,0.0332353605767435,99.0016865269406
lstm_scaffold_diff_metrics_round49.csv,49,RMSE,1409,0.0333490630151949,7.312251803019173,16.908652278580956,41.2778194754433,6218.07317480968,33.96556767242413,0.0333490630151949,92.00354842569008
lstm_scaffold_lr_metrics_round49.csv,49,RMSE,1409,0.0338123279101673,7.297495263308653,16.839629735302708,41.41549988771944,7132.550237126635,34.11800462441079,0.0338123279101673,92.060058006215
