Model_Strategy,Round,METRIC,Count,Min,Q1,Median,Q3,Max,IQR,True Min (Non-outlier),True Max (Non-outlier)
gru_fedAvg_diff0_metrics_round49.csv,49,SMAPE (%),1409,1.242420383128575,16.38994024058401,29.73027597421068,45.81677628726876,200.0,29.42683604668475,1.242420383128575,89.90767051388812
gru_fedAvg_metrics_round49.csv,49,SMAPE (%),1409,1.2565567916834532,16.559248867414457,29.6617882373688,45.758912625134855,200.0,29.199663757720398,1.2565567916834532,88.45146440595114
gru_fedProx_diff_metrics_round49.csv,49,SMAPE (%),1409,1.3153655202331624,17.699990637754922,30.83758035582116,46.50038181447905,200.0,28.800391176724126,1.3153655202331624,88.5586412997611
gru_fedProx_metrics_round49.csv,49,SMAPE (%),1409,1.305865709762003,17.383121000917637,30.37409199729628,46.05381444779926,200.0,28.670693446881625,1.305865709762003,88.52837697636053
gru_scaffold_diff_metrics_round49.csv,49,SMAPE (%),1409,1.1361368872357482,14.487798289270229,27.792652709863496,43.04543468912651,200.0,28.55763639985628,1.1361368872357482,85.38563837433773
gru_scaffold_lr_metrics_round49.csv,49,SMAPE (%),1409,1.1219855948573134,15.210239452571471,28.214178820821573,43.66168646745139,200.0,28.451447014879918,1.1219855948573134,85.72215045106603
lstm_fedAvg_diff0_metrics_round49.csv,49,SMAPE (%),1409,1.251963277453227,17.04199329936533,30.217873618362205,46.57704389233008,200.0,29.53505059296475,1.251963277453227,90.48106163638477
lstm_fedAvg_metrics_round49.csv,49,SMAPE (%),1409,1.3803677445465834,18.42322493507944,31.270187693410467,47.60296748651229,200.0,29.179742551432852,1.3803677445465834,91.15017901503876
lstm_fedProx_diff_metrics_round49.csv,49,SMAPE (%),1409,1.312811923764731,18.430438988518176,31.45337215256235,47.131849617419086,200.0,28.70141062890091,1.312811923764731,90.02083962589235
lstm_fedProx_metrics_round49.csv,49,SMAPE (%),1409,1.314775089828778,18.47265122563065,31.35577491896874,46.97349709587891,200.0,28.500845870248263,1.314775089828778,88.97469486575174
lstm_scaffold_diff_metrics_round49.csv,49,SMAPE (%),1409,1.130478846233301,15.619862173376106,28.78813629079568,44.71379190431989,200.0,29.093929730943785,1.130478846233301,87.78208986436903
lstm_scaffold_lr_metrics_round49.csv,49,SMAPE (%),1409,1.1306092980577702,15.707343070554082,28.84849600276943,44.932534525018326,200.0,29.225191454464245,1.1306092980577702,88.62166580175824
