round,MAE,MSE,RMSE,MAPE (%),SMAPE (%)
1,15.07136785168651,432.89662736961225,20.806168012625783,1441856156.7577069,57.18681229534774
2,14.849954040178572,428.15143500439245,20.69182048550568,1482097847.369696,56.244712113400084
3,14.475241672619047,406.01233293088825,20.149747713827292,1599672754.5929182,54.92291198990118
4,14.203946427083334,389.07458104132,19.724973537151325,1709940022.5815911,53.966858362438956
5,14.040511359126983,385.16125252794404,19.62552553507661,1714477994.9788768,53.31666949880328
6,13.882245524801588,374.72174731915675,19.357730944487187,1676474044.4141912,52.936040217034694
7,12.909610808531745,350.2552294452256,18.715106984605395,1524704517.3433309,49.61800204366812
8,11.49533368154762,298.2486182405446,17.269876034313178,1485000539.188252,45.340437663292306
9,10.882084629464286,270.6908104588081,16.452683989513933,1481050891.5158348,44.00802467193476
10,10.26266769593254,248.69621033672541,15.770104956427064,1500265810.1641593,42.531068006746594
11,10.656272849950398,260.17956727045066,16.130082680211242,1465044423.4165483,43.58274449492504
12,10.42691492857143,252.97090740934127,15.905059176543206,1471109574.9763405,42.932910736821555
13,10.08111262202381,243.73408440021618,15.611985280553405,1509893995.7956553,41.877343362595234
14,10.337700683779762,250.5250216758729,15.827982236402494,1475854612.4014287,42.6376383604793
15,10.07539639360119,242.38396518483447,15.568685403232813,1485668950.7644415,41.95720305200438
16,10.021214173611112,242.93029064596377,15.586221179168598,1517680629.2247255,41.58334188749653
17,9.795487030753968,234.73193812067635,15.320964007551103,1528612423.9222925,41.12040330677864
18,9.89203400297619,238.38505043113574,15.43972313324095,1503670910.8646944,41.35277438721822
19,9.598709720238094,228.27113527738615,15.10864438913651,1570443744.6619294,40.68774795938109
20,9.766712843253968,235.75740208179988,15.354393575840104,1546467465.3705366,40.8769084045122
21,9.40493550297619,226.45799704997094,15.048521424045983,1554145833.7795944,39.93654409252256
22,9.548805341269842,231.84598283094311,15.22648951107717,1574165726.5348108,40.13053705793713
23,9.244420755952383,222.27705065254912,14.908958738038988,1560450914.2585545,39.54361339868047
24,9.288591296130953,223.67406656800102,14.95573691156678,1537537682.319462,39.64199999805786
25,9.073327998511905,218.94357187354512,14.7967419344106,1560142470.142476,39.069720283021496
26,9.042528026537699,219.12734323509514,14.802950490868202,1589439111.3602955,38.84236497774032
27,8.962878234623014,217.18259060731359,14.737116088547094,1565046018.6497133,38.61484249563087
28,8.73182117063492,210.1567508631607,14.496784155914053,1610181300.3625927,38.263072496439676
29,8.699796112103174,210.57151082667605,14.511082345113891,1591670422.1076825,38.01693338373245
30,8.67335981746032,209.53980803626538,14.475489906606455,1600360998.4858534,38.00395874833226
31,8.694048770337302,209.31479046183853,14.467715454135755,1613582670.3877833,38.1176517158469
32,8.527143004960317,205.0455710453011,14.319412384776866,1608700265.234992,37.806725576749606
33,8.654871462301587,209.84859479383536,14.48615182834404,1582437708.6581,37.79749147872759
34,8.380246357142857,203.13976857830988,14.25271092032354,1570771708.7491114,37.30550485115838
35,8.38790792311508,204.4673824012799,14.299209153001431,1572627674.345101,37.187942100101075
36,8.28041502529762,201.12434516590068,14.18183151662368,1569913013.8551438,37.097270487824815
37,8.297845926091272,201.12745753243001,14.181941246967215,1600561372.8227637,37.21266348594493
38,8.344859616071426,203.00069635452746,14.247831286007266,1594087068.5575106,37.1470443328678
39,8.29125871701389,201.44800210182385,14.19323790055757,1561616959.9920025,37.038112088022835
40,8.310145241071428,200.6204227134066,14.164053894044834,1597034428.5510948,37.31393853713485
41,8.350248333333333,202.32591126651414,14.224131300944679,1601792215.7657428,37.25486532509373
42,8.275848619543652,201.32698042055287,14.188973903018953,1580247838.3761413,36.98332832413783
43,8.228123227678571,200.45481024373075,14.158206462816212,1572801517.3209372,36.838731404591186
44,8.121449455605157,199.09466831663403,14.110091010217971,1551175862.8715699,36.488253440504856
45,8.20039545138889,198.76297550943542,14.098332366256493,1606226763.680552,36.99974789296782
46,8.213939685515875,200.2323231894766,14.150347104911477,1563279963.097396,36.76968023912108
47,8.159849906249999,197.08068846425806,14.03854296087233,1593474959.2413616,37.01165937436462
48,8.156399438492063,196.93201371449726,14.033246727486025,1577794545.3941627,36.985307598634265
49,8.086673665178571,196.5994707921082,14.021393325633092,1579759993.0174503,36.70856710315077
50,8.031109313988095,195.47157945612406,13.981115100596378,1575697638.2468455,36.59130825017817
