Model_Strategy,Round,METRIC,Count,Min,Q1,Median,Q3,Max,IQR,True Min (Non-outlier),True Max (Non-outlier)
gru_diff-diff_metrics_round50.csv,50,MAE,1410,0.0252151876314575,3.7143093515381906,8.151666532979705,18.012045102629152,4154.841433902214,14.297735751090961,0.0252151876314575,39.27779554289668
gru_fedAvg_diff0_metrics_round50.csv,50,MAE,1410,0.0254034611572878,3.681307374820981,8.187980027306272,17.42911666985701,4279.492458939114,13.747809295036028,0.0254034611572878,38.04132967712177
gru_fedAvg_lr_metrics_round50.csv,50,MAE,1410,0.0253233043726937,3.7118473525045665,8.219103796356087,17.731206432656826,4244.545244280443,14.01935908015226,0.0253233043726937,38.4020197896679
gru_fedProx_diff_metrics_round50.csv,50,MAE,1410,0.0250961479515682,3.7729151186577488,8.415691377767528,18.170999801868078,4424.335443265682,14.398084683210328,0.0250961479515682,39.55800080258303
gru_fedProx_metrics_round50.csv,50,MAE,1410,0.0252259876761992,3.846633809847786,8.58706493078971,19.06105504278137,4455.755009580258,15.214421232933583,0.0252259876761992,41.17703110701108
gru_scaffold_diff_metrics_round50.csv,50,MAE,1410,0.0242263492892066,3.4660964653482473,7.7389589662361615,16.676915725107484,3142.639446079336,13.210819259759237,0.0242263492892066,35.73382083487085
gru_scaffold_lr_metrics_round50.csv,50,MAE,1410,0.0209763201411764,3.582032142412362,7.862698965405904,17.28077665991697,1948.7419657472328,13.698744517504608,0.0209763201411764,37.71724861296126
lstm_diff-diff_metrics_round50.csv,50,MAE,1410,0.026426919085332,3.850915767204797,8.423631228487128,18.618215129266606,5332.2173135608855,14.76729936206181,0.026426919085332,40.55161475092251
lstm_fedAvg_diff0_metrics_round50.csv,50,MAE,1410,0.0264103423390221,3.836707377006457,8.455198482493374,18.393466676569453,5240.76383048893,14.556759299562996,0.0264103423390221,40.18802027675277
lstm_fedAvg_lr_metrics_round50.csv,50,MAE,1410,0.0266907969354243,3.8545087960562734,8.48087004718342,18.401074926660513,5585.161316420665,14.54656613060424,0.0266907969354243,39.88714862546126
lstm_fedProx_diff_metrics_round50.csv,50,MAE,1410,0.025841823358856,4.202804193849351,9.286484126153134,20.08736755062269,6051.933205442805,15.88456335677334,0.025841823358856,43.86537783210332
lstm_fedProx_metrics_round50.csv,50,MAE,1410,0.0260151716660516,4.237236773884181,9.184106755444269,20.151508873039667,6214.845366974169,15.914272099155486,0.0260151716660516,43.67230738468636
lstm_scaffold_diff_metrics_round50.csv,50,MAE,1410,0.0258989374229704,3.5476376595940957,7.9224761639028145,17.624473930777214,4709.005336900369,14.076836271183119,0.0258989374229704,38.70415727721402
lstm_scaffold_lr_metrics_round50.csv,50,MAE,1410,0.0256665407619926,3.5830880062499992,7.989757740313655,17.21021568231089,4827.0798863007385,13.627127676060889,0.0256665407619926,37.34990982011071
