strategy,nrmse_mean,nrmse_median,nrmse_Q1,nrmse_Q3,mase_mean,mase_median,mase_Q1,mase_Q3
fedAvg,26842.041406207143,0.2025158755661057,0.1363846367616487,0.2941290911881363,31213.53725152055,2.324703242391556,1.824735245937001,3.051225316088658
fedAvg_diff0,29238.8362514327,0.20331322881142794,0.1368472809125069,0.286644641435965,33242.422326643966,2.247137935721335,1.7713465713210557,2.9626417612181877
fedProx,22238.41088692996,0.2132082098117387,0.14435448749398486,0.30018720965873885,27391.721785360456,2.4131127411275592,1.8707312910620852,3.1483958949019013
fedProx_diff,23926.083829220443,0.2140102483355489,0.1470092786977519,0.308301589801214,30556.160030939234,2.5348642537835544,1.9803895539117398,3.2487382051234417
fedProx_diff001,24792.963659142188,0.21943329999271022,0.15120976177843248,0.3123373523928292,30329.807526230885,2.5833106160695745,2.054921714645418,3.314987589534672
scaffold_diff,17991.74324304587,0.20024415955752545,0.13506603693947183,0.2875590708826974,19414.868452412255,2.1418421669268293,1.7624612056856694,2.7600379272279376
scaffold_diff001,9275.637353210848,0.20123226584554177,0.13683139483428908,0.29331927154306997,10047.89691008432,2.237509589424456,1.829351863391045,2.8277853759836686
scaffold_lr,17132.789490810264,0.2020632293584791,0.13648677625223735,0.29042953421078854,20365.720956479607,2.1817485614933654,1.8005581460814313,2.7887852488608886
